NO.,HEAD,CHANGE TYPE,CHANGED STATEMENT,PARENT ENTITY,ROOT ENTITY,SIGNIFICANCE LEVEL
1,62787d9bfa0c7c674ebba69db5cdbeb85e9893d6,"STATEMENT_DELETE","ASSIGNMENT: lastContext = context;","METHOD: com.alibaba.fastjson.JSONReader.endStructure()","com.alibaba.fastjson.JSONReader.endStructure()","MEDIUM"
1,62787d9bfa0c7c674ebba69db5cdbeb85e9893d6,"STATEMENT_DELETE","ASSIGNMENT: context = lastContext;","THEN_STATEMENT: ((lastContext != null) && (lastContext.parent == context))","com.alibaba.fastjson.JSONReader.startObject()","MEDIUM"
1,62787d9bfa0c7c674ebba69db5cdbeb85e9893d6,"STATEMENT_DELETE","ASSIGNMENT: context.state = JSONStreamContext.StartObject;","THEN_STATEMENT: (context.state != JSONStreamContext.StartObject)","com.alibaba.fastjson.JSONReader.startObject()","MEDIUM"
1,62787d9bfa0c7c674ebba69db5cdbeb85e9893d6,"STATEMENT_DELETE","IF_STATEMENT: (context.state != JSONStreamContext.StartObject)","THEN_STATEMENT: ((lastContext != null) && (lastContext.parent == context))","com.alibaba.fastjson.JSONReader.startObject()","MEDIUM"
1,62787d9bfa0c7c674ebba69db5cdbeb85e9893d6,"ALTERNATIVE_PART_DELETE","ELSE_STATEMENT: ((lastContext != null) && (lastContext.parent == context))","IF_STATEMENT: ((lastContext != null) && (lastContext.parent == context))","com.alibaba.fastjson.JSONReader.startObject()","MEDIUM"
1,62787d9bfa0c7c674ebba69db5cdbeb85e9893d6,"STATEMENT_DELETE","IF_STATEMENT: ((lastContext != null) && (lastContext.parent == context))","ELSE_STATEMENT: (context == null)","com.alibaba.fastjson.JSONReader.startObject()","MEDIUM"
1,62787d9bfa0c7c674ebba69db5cdbeb85e9893d6,"STATEMENT_PARENT_CHANGE","ASSIGNMENT: context = new JSONStreamContext(context, JSONStreamContext.StartObject);","ELSE_STATEMENT: ((lastContext != null) && (lastContext.parent == context))","com.alibaba.fastjson.JSONReader.startObject()","MEDIUM"
1,62787d9bfa0c7c674ebba69db5cdbeb85e9893d6,"REMOVED_OBJECT_STATE","FIELD: com.alibaba.fastjson.JSONReader.lastContext : JSONStreamContext","CLASS: com.alibaba.fastjson.JSONReader","com.alibaba.fastjson.JSONReader","HIGH"
2,1a4fb9bb29188ba8474a20868ff8eda6d9b48317,"STATEMENT_DELETE","ASSIGNMENT: clazz = java.util.HashMap.class;","THEN_STATEMENT: "java.util.HashMap".equals(typeName)","com.alibaba.fastjson.parser.DefaultJSONParser.parseObject(Map,Object)","MEDIUM"
2,1a4fb9bb29188ba8474a20868ff8eda6d9b48317,"ALTERNATIVE_PART_DELETE","ELSE_STATEMENT: ((object != null) && object.getClass().getName().equals(typeName))","IF_STATEMENT: ((object != null) && object.getClass().getName().equals(typeName))","com.alibaba.fastjson.parser.DefaultJSONParser.parseObject(Map,Object)","MEDIUM"
