NO.,HEAD,CHANGE TYPE,CHANGED STATEMENT,PARENT ENTITY,ROOT ENTITY,SIGNIFICANCE LEVEL
5,5acc99f8fc7e772aeef8aa959ff2a9c203ab1aa6,"STATEMENT_INSERT","IF_STATEMENT: ((! cacheDir.mkdirs()) && ((! cacheDir.exists()) || (! cacheDir.isDirectory())))","METHOD: com.bumptech.glide.load.engine.cache.DiskLruCacheFactory.build()","com.bumptech.glide.load.engine.cache.DiskLruCacheFactory.build()","LOW"
5,5acc99f8fc7e772aeef8aa959ff2a9c203ab1aa6,"STATEMENT_DELETE","IF_STATEMENT: (cacheDir.isDirectory() || cacheDir.mkdirs())","METHOD: com.bumptech.glide.load.engine.cache.DiskLruCacheFactory.build()","com.bumptech.glide.load.engine.cache.DiskLruCacheFactory.build()","MEDIUM"
5,5acc99f8fc7e772aeef8aa959ff2a9c203ab1aa6,"STATEMENT_PARENT_CHANGE","RETURN_STATEMENT: DiskLruCacheWrapper.create(cacheDir, diskCacheSize);","THEN_STATEMENT: (cacheDir.isDirectory() || cacheDir.mkdirs())","com.bumptech.glide.load.engine.cache.DiskLruCacheFactory.build()","MEDIUM"
5,5acc99f8fc7e772aeef8aa959ff2a9c203ab1aa6,"STATEMENT_PARENT_CHANGE","RETURN_STATEMENT: null;","METHOD: com.bumptech.glide.load.engine.cache.DiskLruCacheFactory.build()","com.bumptech.glide.load.engine.cache.DiskLruCacheFactory.build()","MEDIUM"
5,5acc99f8fc7e772aeef8aa959ff2a9c203ab1aa6,"STATEMENT_INSERT","IF_STATEMENT: (! directory.exists())","SYNCHRONIZED_STATEMENT: DiskLruCache.this","com.bumptech.glide.disklrucache.DiskLruCache.Editor.getFile(int)","LOW"
5,5acc99f8fc7e772aeef8aa959ff2a9c203ab1aa6,"STATEMENT_PARENT_CHANGE","METHOD_INVOCATION: directory.mkdirs();","SYNCHRONIZED_STATEMENT: DiskLruCache.this","com.bumptech.glide.disklrucache.DiskLruCache.Editor.getFile(int)","MEDIUM"
7,e2a467ddb71d76e9da84933a6bce65b30f86c494,"STATEMENT_INSERT","ASSIGNMENT: context = RuntimeEnvironment.application;","METHOD: com.bumptech.glide.signature.ApplicationVersionSignatureTest.setUp()","com.bumptech.glide.signature.ApplicationVersionSignatureTest.setUp()","LOW"
7,e2a467ddb71d76e9da84933a6bce65b30f86c494,"STATEMENT_DELETE","ASSIGNMENT: context = ApplicationProvider.getApplicationContext();","METHOD: com.bumptech.glide.signature.ApplicationVersionSignatureTest.setUp()","com.bumptech.glide.signature.ApplicationVersionSignatureTest.setUp()","MEDIUM"
7,e2a467ddb71d76e9da84933a6bce65b30f86c494,"STATEMENT_UPDATE","VARIABLE_DECLARATION_STATEMENT: ConnectivityMonitor connectivityMonitor = factory.build(ApplicationProvider.getApplicationContext(), mock(ConnectivityMonitor.ConnectivityListener.class));","METHOD: com.bumptech.glide.manager.DefaultConnectivityMonitorFactoryTest.testReturnsNullConnectivityMonitorWhenDoesNotHavePermission()","com.bumptech.glide.manager.DefaultConnectivityMonitorFactoryTest.testReturnsNullConnectivityMonitorWhenDoesNotHavePermission()","LOW"
7,e2a467ddb71d76e9da84933a6bce65b30f86c494,"STATEMENT_UPDATE","METHOD_INVOCATION: shadowOf((Application) ApplicationProvider.getApplicationContext()).grantPermissions("android.permission.ACCESS_NETWORK_STATE");","METHOD: com.bumptech.glide.manager.DefaultConnectivityMonitorFactoryTest.testReturnsDefaultConnectivityMonitorWhenHasPermission()","com.bumptech.glide.manager.DefaultConnectivityMonitorFactoryTest.testReturnsDefaultConnectivityMonitorWhenHasPermission()","LOW"
7,e2a467ddb71d76e9da84933a6bce65b30f86c494,"STATEMENT_UPDATE","VARIABLE_DECLARATION_STATEMENT: ConnectivityMonitor connectivityMonitor = factory.build(ApplicationProvider.getApplicationContext(), mock(ConnectivityMonitor.ConnectivityListener.class));","METHOD: com.bumptech.glide.manager.DefaultConnectivityMonitorFactoryTest.testReturnsDefaultConnectivityMonitorWhenHasPermission()","com.bumptech.glide.manager.DefaultConnectivityMonitorFactoryTest.testReturnsDefaultConnectivityMonitorWhenHasPermission()","LOW"
7,e2a467ddb71d76e9da84933a6bce65b30f86c494,"STATEMENT_UPDATE","VARIABLE_DECLARATION_STATEMENT: ConnectivityManager connectivityManager = (ConnectivityManager) ApplicationProvider.getApplicationContext().getSystemService(Context.CONNECTIVITY_SERVICE);","METHOD: com.bumptech.glide.manager.DefaultConnectivityMonitorTest.ConnectivityHarness.ConnectivityHarness()","com.bumptech.glide.manager.DefaultConnectivityMonitorTest.ConnectivityHarness.ConnectivityHarness()","LOW"
7,e2a467ddb71d76e9da84933a6bce65b30f86c494,"STATEMENT_UPDATE","METHOD_INVOCATION: ApplicationProvider.getApplicationContext().sendBroadcast(connected);","METHOD: com.bumptech.glide.manager.DefaultConnectivityMonitorTest.ConnectivityHarness.broadcast()","com.bumptech.glide.manager.DefaultConnectivityMonitorTest.ConnectivityHarness.broadcast()","LOW"
7,e2a467ddb71d76e9da84933a6bce65b30f86c494,"STATEMENT_UPDATE","ASSIGNMENT: monitor = new DefaultConnectivityMonitor(ApplicationProvider.getApplicationContext(), listener);","METHOD: com.bumptech.glide.manager.DefaultConnectivityMonitorTest.setUp()","com.bumptech.glide.manager.DefaultConnectivityMonitorTest.setUp()","LOW"
7,e2a467ddb71d76e9da84933a6bce65b30f86c494,"STATEMENT_UPDATE","RETURN_STATEMENT: shadowOf((Application) ApplicationProvider.getApplicationContext()).getReceiversForIntent(connectivity);","METHOD: com.bumptech.glide.manager.DefaultConnectivityMonitorTest.getConnectivityReceivers()","com.bumptech.glide.manager.DefaultConnectivityMonitorTest.getConnectivityReceivers()","LOW"
7,e2a467ddb71d76e9da84933a6bce65b30f86c494,"STATEMENT_UPDATE","ASSIGNMENT: file = new File(ApplicationProvider.getApplicationContext().getCacheDir(), "test");","METHOD: com.bumptech.glide.load.model.StreamEncoderTest.setUp()","com.bumptech.glide.load.model.StreamEncoderTest.setUp()","LOW"
7,e2a467ddb71d76e9da84933a6bce65b30f86c494,"STATEMENT_UPDATE","ASSIGNMENT: transcoder = new BitmapDrawableTranscoder(ApplicationProvider.getApplicationContext().getResources());","METHOD: com.bumptech.glide.load.resource.transcode.BitmapDrawableTranscoderTest.setUp()","com.bumptech.glide.load.resource.transcode.BitmapDrawableTranscoderTest.setUp()","LOW"
